"Iteration"	"sampleSize"	"movieName"	"grain"	"testCond"	"surpriseIndex"
1	2	"w_dishes.mp4"	"c"	"sample"	2.88657061715246
1	2	"w_dishes.mp4"	"c"	"random"	2.86754214930925
1	2	"w_dishes.mp4"	"c"	"crossMov"	3.4674601920865
1	2	"w_dishes.mp4"	"f"	"sample"	4.62813622890618
1	2	"w_dishes.mp4"	"f"	"random"	5.01511373081485
1	2	"w_dishes.mp4"	"f"	"crossMov"	1.45752425958814
1	4	"w_dishes.mp4"	"c"	"sample"	5.53971743924939
1	4	"w_dishes.mp4"	"c"	"random"	3.4977669691392
1	4	"w_dishes.mp4"	"c"	"crossMov"	3.80103777678265
1	4	"w_dishes.mp4"	"f"	"sample"	2.30045645474096
1	4	"w_dishes.mp4"	"f"	"random"	0.773908756568401
1	4	"w_dishes.mp4"	"f"	"crossMov"	2.08436983527345
1	6	"w_dishes.mp4"	"c"	"sample"	4.86446954723928
1	6	"w_dishes.mp4"	"c"	"random"	4.82874001151847
1	6	"w_dishes.mp4"	"c"	"crossMov"	3.42241076232758
1	6	"w_dishes.mp4"	"f"	"sample"	6.09478982031915
1	6	"w_dishes.mp4"	"f"	"random"	0.574733264204203
1	6	"w_dishes.mp4"	"f"	"crossMov"	1.33548439427646
1	8	"w_dishes.mp4"	"c"	"sample"	4.06527188938812
1	8	"w_dishes.mp4"	"c"	"random"	3.21287041062265
1	8	"w_dishes.mp4"	"c"	"crossMov"	3.17496393668572
1	8	"w_dishes.mp4"	"f"	"sample"	4.92231369000122
1	8	"w_dishes.mp4"	"f"	"random"	1.29859512843979
1	8	"w_dishes.mp4"	"f"	"crossMov"	1.64016770313369
1	10	"w_dishes.mp4"	"c"	"sample"	6.20702288192053
1	10	"w_dishes.mp4"	"c"	"random"	2.22585557894988
1	10	"w_dishes.mp4"	"c"	"crossMov"	2.81759937173685
1	10	"w_dishes.mp4"	"f"	"sample"	6.30631340113375
1	10	"w_dishes.mp4"	"f"	"random"	1.18679933262738
1	10	"w_dishes.mp4"	"f"	"crossMov"	1.84137657668087
1	12	"w_dishes.mp4"	"c"	"sample"	8.23319575363892
1	12	"w_dishes.mp4"	"c"	"random"	2.85331378778016
1	12	"w_dishes.mp4"	"c"	"crossMov"	3.24314287009599
1	12	"w_dishes.mp4"	"f"	"sample"	5.26921785674031
1	12	"w_dishes.mp4"	"f"	"random"	1.14838924039994
1	12	"w_dishes.mp4"	"f"	"crossMov"	1.89004456328698
1	14	"w_dishes.mp4"	"c"	"sample"	5.00088608404127
1	14	"w_dishes.mp4"	"c"	"random"	3.83672850687489
1	14	"w_dishes.mp4"	"c"	"crossMov"	3.77897405953826
1	14	"w_dishes.mp4"	"f"	"sample"	6.34713579832716
1	14	"w_dishes.mp4"	"f"	"random"	2.68389277571741
1	14	"w_dishes.mp4"	"f"	"crossMov"	1.853095073411
1	16	"w_dishes.mp4"	"c"	"sample"	5.92028064356302
1	16	"w_dishes.mp4"	"c"	"random"	3.37220564533685
1	16	"w_dishes.mp4"	"c"	"crossMov"	3.48406994282492
1	16	"w_dishes.mp4"	"f"	"sample"	5.82908031792719
1	16	"w_dishes.mp4"	"f"	"random"	1.25063209400765
1	16	"w_dishes.mp4"	"f"	"crossMov"	1.75929247412875
1	18	"w_dishes.mp4"	"c"	"sample"	4.94672396461996
1	18	"w_dishes.mp4"	"c"	"random"	2.90444291792178
1	18	"w_dishes.mp4"	"c"	"crossMov"	3.70622535815682
1	18	"w_dishes.mp4"	"f"	"sample"	5.55305247425382
1	18	"w_dishes.mp4"	"f"	"random"	1.66081076860904
1	18	"w_dishes.mp4"	"f"	"crossMov"	1.75290543689658
1	20	"w_dishes.mp4"	"c"	"sample"	6.79937635882097
1	20	"w_dishes.mp4"	"c"	"random"	3.75116744558499
1	20	"w_dishes.mp4"	"c"	"crossMov"	3.82132852755649
1	20	"w_dishes.mp4"	"f"	"sample"	8.12852283140101
1	20	"w_dishes.mp4"	"f"	"random"	1.36294289490328
1	20	"w_dishes.mp4"	"f"	"crossMov"	1.74038864494456
1	22	"w_dishes.mp4"	"c"	"sample"	5.48521150938138
1	22	"w_dishes.mp4"	"c"	"random"	2.76552091666129
1	22	"w_dishes.mp4"	"c"	"crossMov"	3.41118082207797
1	22	"w_dishes.mp4"	"f"	"sample"	7.08387876079245
1	22	"w_dishes.mp4"	"f"	"random"	1.62074195212689
1	22	"w_dishes.mp4"	"f"	"crossMov"	1.72849662183931
1	24	"w_dishes.mp4"	"c"	"sample"	6.32289365257918
1	24	"w_dishes.mp4"	"c"	"random"	2.57969960484674
1	24	"w_dishes.mp4"	"c"	"crossMov"	3.63601381250745
1	24	"w_dishes.mp4"	"f"	"sample"	4.8856804741105
1	24	"w_dishes.mp4"	"f"	"random"	1.76988762037272
1	24	"w_dishes.mp4"	"f"	"crossMov"	1.67519859303376
1	26	"w_dishes.mp4"	"c"	"sample"	8.31234624382761
1	26	"w_dishes.mp4"	"c"	"random"	3.48833028375087
1	26	"w_dishes.mp4"	"c"	"crossMov"	3.58990220775771
1	26	"w_dishes.mp4"	"f"	"sample"	8.8410898955281
1	26	"w_dishes.mp4"	"f"	"random"	1.43825343048737
1	26	"w_dishes.mp4"	"f"	"crossMov"	1.73613041019722
1	28	"w_dishes.mp4"	"c"	"sample"	5.7511892097948
1	28	"w_dishes.mp4"	"c"	"random"	3.00426226105755
1	28	"w_dishes.mp4"	"c"	"crossMov"	4.26259755599888
1	28	"w_dishes.mp4"	"f"	"sample"	8.34601490443038
1	28	"w_dishes.mp4"	"f"	"random"	1.29657852465499
1	28	"w_dishes.mp4"	"f"	"crossMov"	1.56522383461065
1	30	"w_dishes.mp4"	"c"	"sample"	5.39144653950951
1	30	"w_dishes.mp4"	"c"	"random"	2.5230230467563
1	30	"w_dishes.mp4"	"c"	"crossMov"	3.4203757331818
1	30	"w_dishes.mp4"	"f"	"sample"	5.22822191898949
1	30	"w_dishes.mp4"	"f"	"random"	1.24370050414622
1	30	"w_dishes.mp4"	"f"	"crossMov"	1.59661538523804
1	32	"w_dishes.mp4"	"c"	"sample"	7.50898880239463
1	32	"w_dishes.mp4"	"c"	"random"	3.11087139490464
1	32	"w_dishes.mp4"	"c"	"crossMov"	3.14442057235016
1	32	"w_dishes.mp4"	"f"	"sample"	7.76995289158734
1	32	"w_dishes.mp4"	"f"	"random"	1.29963302707188
1	32	"w_dishes.mp4"	"f"	"crossMov"	1.7690762096357
1	2	"w_laundry.mp4"	"c"	"sample"	4.18136924403137
1	2	"w_laundry.mp4"	"c"	"random"	3.82335240767163
1	2	"w_laundry.mp4"	"c"	"crossMov"	3.74848604677079
1	2	"w_laundry.mp4"	"f"	"sample"	4.31535979534917
1	2	"w_laundry.mp4"	"f"	"random"	2.26772214881218
1	2	"w_laundry.mp4"	"f"	"crossMov"	1.16162146251076
1	4	"w_laundry.mp4"	"c"	"sample"	3.68490279530855
1	4	"w_laundry.mp4"	"c"	"random"	4.98468735319848
1	4	"w_laundry.mp4"	"c"	"crossMov"	3.50948741418186
1	4	"w_laundry.mp4"	"f"	"sample"	1.09986870506607
1	4	"w_laundry.mp4"	"f"	"random"	1.35523812414068
1	4	"w_laundry.mp4"	"f"	"crossMov"	2.12625943599588
